atkı,4,"Soğuğa karşı omuzlara, başa, sırta veya boyna alınan örtü, bürgü"
genç,4,"Yaşı ilerlememiş olan, ihtiyar karşıtı"
kürk,4,"Bazı hayvanların, giyecek yapmak için işlenmiş postu"
anal,4,Anüsle ilgili
spor,4,"Bedeni veya zihni geliştirmek amacıyla kişisel veya toplu olarak gerçekleştirilen, bazı kurallara göre uygulanan hareketlerin tümü"
ulaş,4,Sivas iline bağlı ilçelerden biri
albüm,5,"Fotoğraf, pul vb.ni dizip saklamaya yarayan bir defter türü"
bücür,5,Ufak tefek ve kısa boylu (kimse)
bazal,5,Bazı çok olan (tuz)
dönek,5,"İnanç ve düşüncesini değiştiren, sözüne güvenilmeyen, caygın, kaypak (kimse), kahpe"
darbe,5,"Vuruş, çarpış"
didim,5,Aydın iline bağlı ilçelerden biri
erciş,5,Van iline bağlı ilçelerden biri
filum,5,"Canlıların bölümlenmesinde, dalların bir araya gelmesiyle oluşan birlik"
gövde,5,Bir şeyin asıl bölümü
güven,5,"Korku, çekinme ve kuşku duymadan inanma ve bağlanma duygusu, itimat"
hanım,5,"Kız ve kadınlara verilen unvan, bayan"
husye,5,"Er bezi, testis"
ikraz,5,Borç veya ödünç verme
körpe,5,"Dalından yeni koparılmış, tazeliği üstünde, daha büyümemiş (bitki), kart karşıtı"
kalem,5,"Yazma, çizme vb. işlerde kullanılan çeşitli biçimlerde araç"
kavuk,5,"Pamuktan yapılmış, üzerine sarık sarılan erkek başlığı"
kolza,5,"Turpgillerden, yağlı tohumlarından elde edilen yağı yapay kauçuk, biyodizel vb.nin yapımında kullanılan mevsimlik bitki (Brassica napus)"
kulis,5,Sahnenin gerisinde ve yanlarında bulunan bölüm
müftü,5,İl ve ilçelerde Müslümanların din işlerine bakan görevli
mekan,5,"Yer, bulunulan yer"
musır,5,"Bir söz veya düşüncede direnen, ayak direyen (kimse)"
onlar,5,Ondalık sayı sistemine göre yazılan bir tam sayıda sağdan sola doğru ikinci basamak
pilav,5,"Pirinçten, bulgurdan veya kuskustan yapılan bir yemek"
radyo,5,Elektrik dalgalarının özelliğinden yararlanarak seslerin iletilmesi sistemi
sadme,5,"Çarpışma, tokuşma, vurma"
sanki,5,"Farz edelim ki, güya"
susta,5,Köpeğin arka ayakları üzerinde durması
tapan,5,"Tarlaya atılan tohumu örtmek için gezdirilen, ağaçtan geniş araç, sürgü"
telaş,5,Herhangi bir sebeple acelecilik
tirsi,5,"Hamsigillerden, yumurtalarını tatlı sulara bırakan bir tür balık (Alosa alosa)"
yarda,5,"91,4 santimetrelik İngiliz uzunluk ölçüsü birimi"
çengel,6,"Bir yere takılmaya, geçirilmeye yarayan eğri ve ucu sivri demir"
aşkale,6,Erzurum iline bağlı ilçelerden biri
düzgün,6,"Doğru ve pürüzsüz, muntazam"
dipçik,6,"Tüfek vb. silahların namlu gerisinde bulunan, atış sırasında silahın omza dayanmasını veya tabancanın elle kavranmasını sağlayan taban bölümü"
götürü,6,Fiyatı veya ücreti toptan belirlenen (iş vb.)
gravür,6,"Ağaç, taş veya metal bir levhanın oyularak işlenmesi ve bunun bir yüzeye basılması tekniği"
içgüdü,6,"Bir canlı türünün bütün bireylerinde akıl ve düşünceden bağımsız olarak doğuştan gelen bilinçsiz her türlü hareket ve davranış, insiyak, sevkitabii"
korgan,6,Ordu iline bağlı ilçelerden biri
